base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
planning_budget_0002,baseline,4,constraint_violation,False,False,0.9996861846310624,0.6248839655730085,True,0
planning_budget_0002,reprompt,4,constraint_violation,False,False,0.9996861846310624,0.6248839655730085,True,2
planning_budget_0002,replace_prior,4,constraint_violation,False,False,0.5017739416140564,0.2773133143117825,False,1
planning_budget_0002,branch_and_pick,4,constraint_violation,False,False,0.9997066757370836,0.6219236133616294,True,2
2hop_fractions_0039,baseline,2,wrong_percentage_base,False,False,0.9999995866358348,0.500043351445908,True,0
2hop_fractions_0039,reprompt,2,wrong_percentage_base,False,False,0.9999995866358348,0.500043351445908,True,1
2hop_fractions_0039,replace_prior,2,wrong_percentage_base,False,True,0.0024021169504268,0.0012446166032039,False,1
2hop_fractions_0039,branch_and_pick,2,wrong_percentage_base,False,False,0.9999999967543444,0.5000435565051626,True,1
2hop_fractions_0032,baseline,2,wrong_unit,False,False,0.9999999373442776,0.501093040332389,True,0
2hop_fractions_0032,reprompt,2,wrong_unit,False,False,0.9999999373442776,0.501093040332389,True,1
2hop_fractions_0032,replace_prior,2,wrong_unit,False,False,0.0026521627326868,0.0024191530265936,False,1
2hop_fractions_0032,branch_and_pick,2,wrong_unit,False,False,0.999999997797199,0.5010930705588497,True,1
3hop_multi_stage_geometry_0006,baseline,3,wrong_operator,False,False,0.9999997943278086,0.7882535398851291,True,0
3hop_multi_stage_geometry_0006,reprompt,3,wrong_operator,False,False,0.9999997943278086,0.7882535398851291,True,2
3hop_multi_stage_geometry_0006,replace_prior,3,wrong_operator,False,False,0.9772392918020932,0.5488196461814104,True,1
3hop_multi_stage_geometry_0006,branch_and_pick,3,wrong_operator,False,False,0.9999998899331,0.7882536047976866,True,2
4hop_multi_stage_allocation_0017,baseline,4,wrong_unit,False,False,0.9999999998805876,0.751078808759202,True,0
4hop_multi_stage_allocation_0017,reprompt,4,wrong_unit,False,False,0.9999999998805876,0.751078808759202,True,3
4hop_multi_stage_allocation_0017,replace_prior,4,wrong_unit,False,False,0.0045823393611176,0.0027146518358565,False,1
4hop_multi_stage_allocation_0017,branch_and_pick,4,wrong_unit,False,False,0.9999999993707848,0.7510929286956336,True,3
3hop_compound_rate_0007,baseline,3,wrong_unit,False,False,0.9999650046255404,0.6672164588959436,True,0
3hop_compound_rate_0007,reprompt,3,wrong_unit,False,False,0.9999650046255404,0.6672164588959436,True,2
3hop_compound_rate_0007,replace_prior,3,wrong_unit,False,False,0.0570537535561755,0.0266582003500681,False,1
3hop_compound_rate_0007,branch_and_pick,3,wrong_unit,False,False,0.9999787126613886,0.6671726222473477,True,2
2hop_fractions_0005,baseline,2,off_by_one,False,True,0.9997185390710784,0.50041280400824,True,0
2hop_fractions_0005,reprompt,2,off_by_one,False,False,0.9997185390710784,0.50041280400824,True,1
2hop_fractions_0005,replace_prior,2,off_by_one,False,True,0.0028851058556898,0.0019960874005456,False,1
2hop_fractions_0005,branch_and_pick,2,off_by_one,False,True,0.9998246907826124,0.500465879864007,True,1
4hop_nested_fractions_0019,baseline,4,wrong_percentage_base,False,False,0.9999999993792634,0.7787431022956095,True,0
4hop_nested_fractions_0019,reprompt,4,wrong_percentage_base,False,False,0.9999999993792634,0.7787431022956095,True,3
4hop_nested_fractions_0019,replace_prior,4,wrong_percentage_base,False,False,0.980105712791058,0.4732587646071343,True,3
4hop_nested_fractions_0019,branch_and_pick,4,wrong_percentage_base,False,False,0.999999998259756,0.778423324915331,True,3
2hop_rate_distance_0038,baseline,2,magnitude_error,False,False,0.9999940614839772,0.5271645048577147,True,0
2hop_rate_distance_0038,reprompt,2,magnitude_error,False,False,0.9999940614839772,0.5271645048577147,True,1
2hop_rate_distance_0038,replace_prior,2,magnitude_error,False,False,0.0543349482314522,0.0405613615484762,False,1
2hop_rate_distance_0038,branch_and_pick,2,magnitude_error,False,False,0.9999994858077308,0.5271672170195916,True,1
3hop_percentage_chain_0047,baseline,3,wrong_unit,False,False,0.9999999998187994,0.6668271446980872,True,0
3hop_percentage_chain_0047,reprompt,3,wrong_unit,False,False,0.9999999998187994,0.6668271446980872,True,2
3hop_percentage_chain_0047,replace_prior,3,wrong_unit,False,False,0.7508630958179227,0.3097017260729987,False,1
3hop_percentage_chain_0047,branch_and_pick,3,wrong_unit,False,False,0.999999999823652,0.6668338011043927,True,2
3hop_compound_rate_0018,baseline,3,magnitude_error,False,False,0.99998413904351,0.666848828867954,True,0
3hop_compound_rate_0018,reprompt,3,magnitude_error,False,False,0.99998413904351,0.666848828867954,True,2
3hop_compound_rate_0018,replace_prior,3,magnitude_error,False,False,0.7471250506081564,0.3789429146943202,False,1
3hop_compound_rate_0018,branch_and_pick,3,magnitude_error,False,False,0.9999995305864324,0.6668656758884207,True,2
3hop_percentage_chain_0015,baseline,3,off_by_one,False,True,0.99998281686882,0.6658253438879419,True,0
3hop_percentage_chain_0015,reprompt,3,off_by_one,False,False,0.99998281686882,0.6658253438879419,True,2
